股票代號,股票名稱,本益比,殖利率(%),股價淨值比
"2506","太設","4.68","2.71","0.50"
"2509","全坤建","209.38","","0.90"
"2511","太子","45.00","3.48","0.66"
"2514","龍邦","5.09","","0.60"
"2515","中工","23.59","4.79","0.74"
"2516","新建","21.75","","1.67"
"2520","冠德","5.04","3.55","1.17"
"2524","京城","22.33","","1.35"
"2527","宏璟","30.37","4.02","0.81"
"2528","皇普","","1.28","2.95"
"2530","華建","18.22","1.38","3.09"
"2534","宏盛","89.31","3.86","0.86"
"2535","達欣工","11.13","5.66","1.47"
"2536","宏普","17.65","1.67","0.86"
"2537","聯上發","21.38","","0.88"
"2538","基泰","","5.80","1.10"
"2539","櫻花建","42.48","3.89","4.34"
"2540","愛山林","23.12","6.23","4.62"
"2542","興富發","25.60","3.53","1.58"
"2543","皇昌","15.67","2.44","3.93"
"2545","皇翔","6.25","3.67","1.56"
"2546","根基","10.77","6.03","1.74"
"2547","日勝生","","2.24","0.97"
"2548","華固","12.28","7.02","1.82"
"2597","潤弘","15.73","6.33","4.72"
"2601","益航","","","0.66"
"2603","長榮","4.38","4.37","0.91"
"2605","新興","10.37","3.00","0.85"
"2606","裕民","9.80","4.46","1.18"
"2607","榮運","14.15","3.47","1.00"
"2608","嘉里大榮","16.40","6.72","1.50"
"2609","陽明","5.48","2.53","0.85"
"2610","華航","15.53","2.61","1.94"
"2611","志信","7.40","10.57","1.36"
"2612","中航","17.05","2.48","0.63"
"2613","中櫃","27.93","1.78","1.43"
"2614","東森","","","1.41"
"2615","萬海","7.48","1.83","0.95"
"2616","山隆","","2.61","0.52"
"2617","台航","9.95","5.47","0.71"
"2618","長榮航","9.29","3.92","2.12"
"2630","亞航","46.30","1.66","1.95"
"2633","台灣高鐵","19.68","3.68","2.21"
"2634","漢翔","21.74","3.25","2.36"
"2636","台驊控股","9.64","8.28","1.16"
"2637","慧洋-KY","7.66","4.32","0.98"
"2642","宅配通","72.92","2.29","1.58"
"2645","長榮航太","20.98","4.77","2.78"
"2646","星宇航空","99.29","","3.50"
"2701","萬企","20.83","2.24","0.67"
"2702","華園","","","0.78"
"2704","國賓","18.81","1.80","0.67"
"2705","六福","80.68","","0.71"
"2706","第一店","21.64","2.41","0.72"
"2707","晶華","18.25","5.85","5.99"
"2712","遠雄來","","1.73","2.33"
"2722","夏都","170.50","1.47","2.13"
"2723","美食-KY","44.18","3.52","1.61"
"2727","王品","15.46","6.17","4.68"
"2731","雄獅","7.55","6.53","3.02"
"2739","寒舍","8.08","","3.16"
"2748","雲品","21.08","3.29","2.25"
"2753","八方雲集","17.13","4.78","2.88"
"2762","世界健身-KY","30.41","6.10","3.12"
"2801","彰銀","14.24","4.89","1.00"
"2809","京城銀","10.06","5.94","1.04"
"2812","台中銀","12.43","5.15","1.26"
"2816","旺旺保","7.00","","1.01"
"2820","華票","15.68","4.85","0.80"
"2832","台產","9.35","4.51","0.86"
"2834","臺企銀","12.27","9.09","1.04"
"2836","高雄銀","23.96","5.22","0.84"
"2838","聯邦銀","13.12","5.86","0.87"
"2845","遠東銀","13.35","7.57","0.94"
"2849","安泰銀","19.12","2.69","0.81"
"2850","新產","10.30","4.71","1.79"
"2851","中再保","7.76","5.44","1.01"
"2852","第一保","8.11","4.61","0.85"
"2855","統一證","9.44","5.05","1.11"
"2867","三商壽","","","0.79"
"2880","華南金","16.13","4.91","1.67"
"2881","富邦金","11.67","2.74","1.48"
"2882","國泰金","11.84","2.90","1.21"
"2883","凱基金","10.69","2.82","1.07"
"2884","玉山金","16.38","5.12","1.77"
"2885","元大金","14.76","3.78","1.43"
"2886","兆豐金","16.10","4.66","1.59"
"2887","台新金","12.87","5.71","1.09"
"2888","新光金","16.23","","0.74"
"2889","國票金","25.85","6.43","1.27"
"2890","永豐金","13.22","4.27","1.46"
"2891","中信金","11.95","4.58","1.63"
"2892","第一金","15.87","4.19","1.45"
"2897","王道銀行","12.15","4.53","0.71"
"2901","欣欣","64.19","1.30","2.30"
"2903","遠百","16.19","6.72","1.06"
"2904","匯僑","18.40","3.36","1.11"
"2905","三商","","1.29","0.92"
"2906","高林","34.22","3.44","1.05"
"2908","特力","35.98","2.88","1.47"
"2910","統領","21.18","1.35","1.65"
"2911","麗嬰房","","","1.58"
"2912","統一超","24.12","3.38","7.12"
"2913","農林","","","1.27"
"2915","潤泰全","9.73","3.48","0.72"
"2923","鼎固-KY","63.66","0.77","0.89"
"2929","淘帝-KY","","","0.57"
"2939","永邑-KY","","","1.94"
"2945","三商家購","20.43","2.98","1.46"
"3002","歐格","86.76","2.17","1.14"
"3003","健和興","21.99","1.94","1.85"
"3004","豐達科","13.60","2.73","1.93"
"3005","神基","15.48","4.66","2.91"
"3006","晶豪科","","0.95","1.68"
"3008","大立光","15.33","2.65","1.95"
"3010","華立","15.08","3.96","1.46"
"3011","今皓","","","1.66"
"3013","晟銘電","54.69","0.29","6.75"
"3014","聯陽","15.06","5.41","3.83"
"3015","全漢","28.58","5.31","0.70"
"3016","嘉晶","46.39","1.11","2.58"
"3017","奇鋐","32.83","1.09","9.25"
"3018","隆銘綠能","","","2.74"
"3019","亞光","30.97","1.07","3.39"
"3021","鴻名","17.15","1.11","1.53"
"3022","威強電","11.80","4.41","1.34"
"3023","信邦","18.37","3.69","4.28"
"3024","憶聲","78.08","0.49","1.92"
"3025","星通","16.99","4.29","5.16"
"3026","禾伸堂","17.46","5.81","1.47"
"3027","盛達","","1.27","1.59"
"3028","增你強","22.48","6.59","1.19"
"3029","零壹","29.44","2.91","4.36"
"3030","德律","18.38","2.67","3.76"
"3031","佰鴻","14.78","3.89","1.19"
"3032","偉訓","18.21","3.75","3.29"
"3033","威健","14.25","5.55","1.55"
"3034","聯詠","14.58","6.40","4.79"
"3035","智原","54.28","1.83","4.65"
"3036","文曄","17.32","1.71","1.43"
"3037","欣興","27.93","2.06","2.39"
"3038","全台","11.42","6.12","1.46"
"3040","遠見","64.39","2.10","2.02"
"3041","揚智","","","3.11"
"3042","晶技","18.23","4.29","2.31"
"3043","科風","","","2.54"
"3044","健鼎","13.05","3.79","2.20"
"3045","台灣大","25.05","3.72","4.28"
"3046","建碁","12.58","4.11","2.49"
"3047","訊舟","156.50","","2.58"
"3048","益登","","3.21","1.88"
"3049","精金","","","0.95"
"3050","鈺德","31.07","2.87","1.06"
"3051","力特","18.11","2.99","2.24"
"3052","夆典","11.57","5.24","0.70"
"3054","立萬利","","","2.61"
"3055","蔚華科","","1.64","3.23"
"3056","富華新","","2.52","1.72"
"3057","喬鼎","","","1.59"
"3058","立德","","","1.56"
"3059","華晶科","31.39","1.94","1.10"
"3060","銘異","","1.05","1.22"
"3062","建漢","","","2.28"
"3090","日電貿","17.22","4.99","2.27"
"3092","鴻碩","","","1.46"
"3094","聯傑","207.14","2.10","2.41"
"3130","一零四","15.52","6.21","4.55"
"3138","耀登","35.88","2.41","2.57"
"3149","正達","","","2.85"
"3150","鈺寶-創","93.11","2.32","2.18"
"3164","景岳","32.13","2.55","1.25"
"3167","大量","120.79","0.47","3.52"
"3168","眾福科","16.40","7.76","1.87"
"3189","景碩","69.66","0.99","1.45"
"3209","全科","11.69","6.09","1.62"
"3229","晟鈦","","","1.80"
"3231","緯創","20.15","2.41","2.53"
"3257","虹冠電","19.37","5.74","2.63"
"3266","昇陽","13.84","4.20","1.07"
"3296","勝德","","","2.62"
"3305","昇貿","23.37","3.10","1.75"
"3308","聯德","","","1.27"
"3311","閎暉","59.48","3.48","0.87"
"3312","弘憶股","26.29","2.14","3.16"
"3321","同泰","","","3.12"
"3338","泰碩","22.42","3.13","2.85"
"3346","麗清","13.08","4.28","1.17"
"3356","奇偶","8.56","5.17","2.11"
"3376","新日興","32.91","1.91","2.32"
"3380","明泰","56.23","2.76","1.98"
"3406","玉晶光","11.53","2.54","2.21"
"3413","京鼎","13.89","3.65","2.28"
"3416","融程電","23.27","3.38","3.73"
"3419","譁裕","","","1.75"
"3432","台端","","","2.25"
"3437","榮創","","","1.27"
"3443","創意","54.77","1.03","17.38"
"3447","展達","","","4.26"
"3450","聯鈞","143.89","","9.16"
"3454","晶睿","48.96","3.23","3.03"
"3481","群創","","","0.54"
"3494","誠研","","","2.97"
"3501","維熹","12.25","4.88","1.06"
"3504","揚明光","","","2.24"
"3515","華擎","24.74","2.86","3.56"
"3518","柏騰","","","1.63"
"3528","安馳","12.61","2.95","1.77"
"3530","晶相光","","","2.75"
"3532","台勝科","25.13","5.00","1.59"
"3533","嘉澤","28.40","1.34","6.53"
"3535","晶彩科","166.25","","3.57"
"3543","州巧","","4.28","0.78"
"3545","敦泰","41.35","1.12","1.98"
"3550","聯穎","","","1.08"
"3557","嘉威","11.00","4.05","2.26"
"3563","牧德","175.23","1.80","4.67"
"3576","聯合再生","","","1.44"
"3583","辛耘","37.66","0.99","6.86"
"3588","通嘉","30.36","0.88","2.34"
"3591","艾笛森","32.53","2.00","1.21"
"3592","瑞鼎","13.93","3.95","2.50"
"3593","力銘","","","1.80"
"3596","智易","15.43","3.95","2.56"
"3605","宏致","65.00","","1.17"
"3607","谷崧","","3.68","1.30"
"3617","碩天","17.61","2.18","3.80"
"3622","洋華","12.35","3.22","1.31"
"3645","達邁","42.27","0.72","1.86"
"3652","精聯","48.45","0.86","1.65"
"3653","健策","75.97","0.66","15.93"
"3661","世芯-KY","46.22","0.68","7.51"
"3665","貿聯-KY","33.57","1.43","3.38"
"3669","圓展","19.59","3.08","1.17"
"3673","TPK-KY","23.64","","0.41"
"3679","新至陞","14.40","5.77","1.75"
"3686","達能","","","2.10"
"3694","海華","21.52","1.86","2.57"
"3701","大眾控","1313.33","1.78","1.96"
"3702","大聯大","13.81","5.22","1.45"
"3703","欣陸","14.09","4.98","0.89"
"3704","合勤控","46.74","3.73","1.54"
"3705","永信","13.99","4.26","1.88"
"3706","神達","26.84","1.80","1.46"
"3708","上緯投控","51.73","5.99","1.24"
"3711","日月光投控","21.43","3.24","2.25"
"3712","永崴投控","14.20","3.14","1.55"
"3714","富采","","2.17","0.70"
"3715","定穎投控","15.69","2.34","2.30"
"3716","中化控股","","","0.71"
"4104","佳醫","18.28","5.01","1.60"
"4106","雃博","25.68","3.28","1.02"
"4108","懷特","","","1.63"
"4119","旭富","22.30","1.38","1.99"
"4133","亞諾法","28.45","2.61","1.29"
"4137","麗豐-KY","12.41","9.41","1.61"
"4142","國光生","","","1.57"
